Variable Name,Label,Type,Data Type,Value Codes,Missing Code
VAR060_4,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It helped me find more reasons/motives for doing something",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR060_5,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It convinced me to consider doing something I hadn’t planned",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR060_6,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It changed my mind about an activity",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR060_7,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - None of the above",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR061,How much did you like the narrative?,Numeric - Slider,Numeric,none,
VAR062,How creative was the narrative?,Numeric - Slider,Numeric,none,
VAR063,Was the level of creativity:,Single-Choice - Radio Buttons,Numeric,"1 = appealing
2 = appropriate
3 = too much
4 = too little",999
VAR064,Would you like more narrative like this?,Single-Choice - Radio Buttons,Numeric,"1 = Yes
2 = Maybe
3 = No",999
VAR065,Did you notice any issues or inconsistencies compared to the persona that you selected?,Single-Choice - Radio Buttons,Numeric,"1 = Yes
2 = No
3 = Not sure",999
VAR066,"If yes or not sure, briefly state where, or copy paste from the narrative:",Text - Memo,String,none,
VAR067,How much did the issues bother you?,Numeric - Slider,Numeric,none,
VAR068,Describe one inconsistency/issue and how it affected you:,Text - Memo,String,none,
VAR069,What are your general reflections after reading the narrative?,Text - Memo,String,none,
VAR070_1,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It highlighted important things I did the past week",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR070_2,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It gave a helpful summary of how I accomplished something",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR070_3,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It gave me inspiration about what to do next week",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR070_4,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It helped me find more reasons/motives for doing something",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR070_5,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It convinced me to consider doing something I hadn’t planned",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR070_6,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It changed my mind about an activity",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR070_7,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - None of the above",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR071,How much did you like the narrative?,Numeric - Slider,Numeric,none,
VAR072,How creative was the narrative?,Numeric - Slider,Numeric,none,
VAR073,Was the level of creativity:,Single-Choice - Radio Buttons,Numeric,"1 = appealing
2 = appropriate
3 = too much
4 = too little",999
VAR074,Would you like more narratives like this?,Single-Choice - Radio Buttons,Numeric,"1 = Yes
2 = Maybe
3 = No",999
VAR075,Did you notice any issues or inconsistencies compared to the persona that you selected?,Single-Choice - Radio Buttons,Numeric,"1 = Yes
2 = No
3 = Not sure",999
VAR076,"If yes or not sure, briefly state where, or copy paste from the narrative:",Text - Memo,String,none,
VAR077,How much did the issues bother you?,Numeric - Slider,Numeric,none,
VAR078,Describe one inconsistency/issue and how it affected you:,Text - Memo,String,none,
VAR079,Which persona did you not select?,Single-Choice - Radio Buttons,Numeric,"1 = Persona E
2 = Persona G",999
VAR080,What are your general reflections after reading the narrative?,Text - Memo,String,none,
VAR081_1,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It highlighted important things I did the past week",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR081_2,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It gave a helpful summary of how I accomplished something",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR081_3,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It gave me inspiration about what to do next week",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR081_4,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It helped me find more reasons/motives for doing something",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR081_5,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It convinced me to consider doing something I hadn’t planned",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR081_6,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It changed my mind about an activity",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR081_7,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - None of the above",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR082,How much did you like the narrative?,Numeric - Slider,Numeric,none,
VAR083,How creative was the narrative?,Numeric - Slider,Numeric,none,
VAR084,Was the level of creativity:,Single-Choice - Radio Buttons,Numeric,"1 = appealing
2 = appropriate
3 = too much
4 = too little",999
VAR085,Would you like more narratives like this?,Single-Choice - Radio Buttons,Numeric,"1 = Yes
2 = Maybe
3 = No",999
VAR086,Did you notice any issues or inconsistencies compared to the persona that you selected?,Single-Choice - Radio Buttons,Numeric,"1 = Yes
2 = No
3 = Not sure",999
VAR087,"If yes or not sure, briefly state where, or copy paste from the narrative:",Text - Memo,String,none,
VAR088,How much did the issues bother you?,Numeric - Slider,Numeric,none,
VAR089,Describe one inconsistency/issue and how it affected you:,Text - Memo,String,none,
VAR090,What are your general reflections after reading the narrative?,Text - Memo,String,none,
VAR091_1,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It highlighted important things I did the past week",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR091_2,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It gave a helpful summary of how I accomplished something",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR091_3,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It gave me inspiration about what to do next week",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR091_4,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It helped me find more reasons/motives for doing something",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR091_5,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It convinced me to consider doing something I hadn’t planned",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR091_6,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It changed my mind about an activity",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR091_7,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - None of the above",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR092,How much did you like the narrative?,Numeric - Slider,Numeric,none,
VAR093,Which persona did you select?,Single-Choice - Radio Buttons,Numeric,"1 = Persona K
2 = Persona P
3 = Neither P nor K",999
VAR094,How creative was the narrative?,Numeric - Slider,Numeric,none,
VAR095,Was the level of creativity:,Single-Choice - Radio Buttons,Numeric,"1 = appealing
2 = appropriate
3 = too much
4 = too little",999
VAR096,Would you like more narrative like this?,Single-Choice - Radio Buttons,Numeric,"1 = Yes
2 = Maybe
3 = No",999
VAR097,Did you notice any issues or inconsistencies compared to the persona that you selected?,Single-Choice - Radio Buttons,Numeric,"1 = Yes
2 = No
3 = Not sure",999
VAR098,"If yes or maybe, briefly state where, or copy paste from the narrative:",Text - Memo,String,none,
VAR099,How much did the issues bother you?,Numeric - Slider,Numeric,none,
VAR100,Describe one inconsistency/issue and how it affected you:,Text - Memo,String,none,
VAR101,What are your general reflections after reading the narrative?,Text - Memo,String,none,
VAR102_1,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It highlighted important things I did the past week",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR102_2,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It gave a helpful summary of how I accomplished something",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR102_3,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It gave me inspiration about what to do next week",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR102_4,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It helped me find more reasons/motives for doing something",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR102_5,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It convinced me to consider doing something I hadn’t planned",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR102_6,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - It changed my mind about an activity",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR102_7,"If you imagine that this narrative was based on activities that you had chosen, could this narrative have helped you in any of these ways? - None of the above",Multiple-Choice - Check Boxes,Numeric,"1 = Ja
2 = Nej",999
VAR103,How much did you like the narrative?,Numeric - Slider,Numeric,none,
VAR104,How creative was the narrative?,Numeric - Slider,Numeric,none,
VAR105,Was the level of creativity:,Single-Choice - Radio Buttons,Numeric,"1 = appealing
2 = appropriate
3 = too much
4 = too little",999
